SUBJECT,SP,Start,End,Length
F,22,6500.15,6506.808333,6.658333
F,23,6520.15,6526.82,
F,24,6540.15,6546.791667,6.641667
F,25,6560.15,6566.808333,6.658333
F,26,6580.15,6586.82,
F,27,6600.15,6606.808333,6.658333
F,28,6622.816667,6630.808333,7.991666
F,29,6646.816667,6654.808333,7.991666
G,1,7366.233333,7374.225,7.991667
G,2,7390.233333,7398.225,7.991667
G,3,7414.233333,7422.225,7.991667
G,4,7435.566667,7442.225,6.658333
G,5,7455.566667,7462.225,6.658333
G,6,7475.566667,7482.225,6.658333
G,7,7495.566667,7502.225,6.658333
G,8,7515.566667,7522.225,6.658333
G,9,7535.566667,7542.225,6.658333
G,10,7555.566667,7562.225,6.658333
G,11,7575.566667,7582.225,6.658333
G,12,7595.566667,7602.225,6.658333
G,13,7615.566667,7622.225,6.658333
G,14,7635.566667,7642.225,6.658333
G,15,7655.566667,7662.225,6.658333
G,16,7675.566667,7682.225,6.658333
G,17,7695.566667,7702.225,6.658333
G,18,7715.566667,7722.225,6.658333
G,19,7735.566667,7742.225,6.658333
G,20,7755.566667,7760.441667,4.875
G,21,7775.566667,7782.225,6.658333
G,22,7795.566667,7802.225,6.658333
G,23,7815.566667,7822.225,6.658333
G,24,7835.566667,7842.225,6.658333
G,25,7855.525,7862.225,6.7
G,26,7875.566667,7882.225,6.658333
G,27,7895.566667,7902.225,6.658333
G,28,7918.233333,7926.225,7.991667
G,29,7942.233333,7950.225,7.991667
G,30,7966.233333,7974.225,7.991667
H,1,767.433,775.425,7.992000000000001
H,2,791.433,799.4169999999999,7.984
H,3,815.433,823.425,7.992000000000001
H,4,852.0,866.275,14.275
H,5,894.85,909.125,14.275
H,6,937.7,951.975,14.275
H,7,980.55,994.808,14.258
H,8,1023.4,1037.667,14.267000000000001
H,9,1066.25,1080.517,14.267000000000001
H,10,1109.1,1123.358,14.258
H,11,1151.95,1166.225,14.275
H,12,1194.8,1209.067,14.267000000000001
H,13,1237.65,1251.917,14.267000000000001
H,14,1280.5,1294.775,14.275
H,15,1323.35,1337.6170000000002,14.267000000000001
H,16,1366.2,1380.45,14.25
H,17,1409.05,1423.325,14.275
I,1,4893.919167,4901.910833,7.991666
I,2,4917.933889,4925.908889,7.975
I,3,4942.051111,4949.909444,7.858333
I,4,4978.513611,4992.771944,14.258332999999999
I,5,5021.384443999999,5035.592778,14.208333999999999
I,6,5064.213889,5078.472222,14.258332999999999
I,7,5107.098333,5121.323333,14.225
I,8,5149.914167,5164.1725,14.258332999999999
I,9,5192.751389,5207.009722,14.258332999999999
I,10,5235.621389,5249.863056,14.241667000000001
I,11,5278.433333,5292.708333,14.275
I,12,5321.331944,5335.573611,14.241667000000001
I,13,5364.165556,5378.423889,14.258332999999999
I,14,5407.113889,5421.288889,14.175
I,15,5449.963889,5464.243889,
I,16,5492.697222,5506.972222,14.275
I,17,5535.558056,5549.816389,14.258332999999999
J,1,5519.933333,5527.925,7.991667
J,2,5543.933333,5551.925,7.991667
J,3,5567.933333,5575.925,7.991667
J,4,5589.266667,5595.925,6.658333
J,5,5609.266667,5615.925,6.658333
J,6,5629.266667,5635.925,6.658333
J,7,5649.266667,5655.925,6.658333
J,8,5669.266667,5675.925,6.658333
J,9,5689.266667,5695.925,6.658333
J,10,5709.266667,5715.925,6.658333
J,11,5729.266667,5735.925,6.658333
J,12,5749.266667,5755.933333,6.666666
J,13,5769.266667,5775.925,6.658333
J,14,5789.266667,5795.925,6.658333
J,15,5809.266667,5815.925,6.658333
J,16,5829.266667,5835.925,6.658333
J,17,5849.266667,5855.925,6.658333
J,18,5869.266667,5875.925,6.658333
J,19,5889.266667,5895.925,6.658333
J,20,5909.266667,5915.925,6.658333
J,21,5929.266667,5935.925,6.658333
J,22,5949.266667,5955.925,6.658333
