SUBJECT,SESSION,HDIGMeanInverseRT,HDIGTheta0,HDIGTheta1,status
F,21,3.577168159035451,287.5571752795596,4816.449109004732,0
F,22,3.183524840091688,323.9996374218655,5686.890428518456,0
F,23,2.794814078804325,386.79565056777494,3594.3421856064024,0
F,24,2.9605052885384318,357.79113071359814,4282.293765767682,0
F,25,3.2914446696778055,308.8898810624464,6562.760082895386,0
F,26,2.864001405356698,369.92230221065796,4198.467124650896,0
F,27,2.6361391782519306,410.51348717609557,3643.873853366,0
F,28,2.76481375285892,379.2158667038114,4670.100539534433,0
F,29,3.069835152558091,342.6448893471166,4193.467084490645,0
F,30,3.073010879760556,351.45398899122387,3297.686327616996,0
F,31,3.1046685675170957,333.59989441479325,4906.86979463044,0
F,32,3.2364244588808333,319.1074363088423,5109.756105615452,0
F,33,3.5025297726231592,293.0116427665333,5526.443458962911,0
F,34,3.191341732061897,329.2680668553431,4172.25429148652,0
F,35,2.9048432843490377,369.81507127797397,3520.016087170735,0
F,36,2.2840606296921684,583.1350635137741,1578.673590822749,0
F,37,2.4467057659212497,443.21005416264353,4041.094120324437,0
F,38,3.2629895660710275,321.6020518641048,3956.55625190388,0
F,39,3.1095215317933373,352.85024826221303,2929.4768234629114,0
F,40,2.788499110647433,378.43732473496937,4636.319985914364,0
F,41,2.8008628334468435,396.0162035334464,2705.2125073330494,0
F,42,3.106705858011627,335.5581250245003,4836.997042236079,0
F,43,3.022624338094771,355.5517757928539,3257.2734747039694,0
F,44,2.9937229238149774,371.44611218376883,2690.992617271494,0
F,45,3.4960701390592757,304.8488048042346,2970.3013614116867,0
F,46,3.7319050973683843,278.42239652384967,3896.7314825195376,0
F,47,3.202159855216304,322.0144002571755,5408.520526651556,0
F,48,2.933274259280463,356.01964983789463,4686.85338117226,0
F,49,3.035970608903141,350.9374767224818,3667.2641280327944,0
F,50,3.1183029114595735,353.74555350026,2714.5937790300886,0
F,51,3.1329742010494157,336.7653150218204,4193.252675038818,0
F,52,2.9996154261198886,357.6304503859628,3623.9006376572556,0
F,53,3.018833697612421,357.2264350217675,3462.730429933562,0
F,54,3.5105887057138125,296.5802256784473,4285.020652849996,0
F,55,3.301375951567277,338.7159576429684,2224.027655557039,0
F,56,3.5849108083123156,288.0197614988593,4612.690730333424,0
F,57,3.251804666830511,328.9030277653664,3378.756629158735,0
F,58,3.4903991446265596,295.82800612795427,4814.676661090662,0
F,59,3.144449203446962,339.5829084679245,3575.030965045491,0
F,60,3.1434219422238185,330.64893941709215,4388.848081011585,0
F,61,3.1287944963444376,332.3634906082063,4935.841812503895,0
F,62,3.1520280171460313,329.1357297623216,4828.6208541318765,0
F,63,3.3147861438174493,315.07506067080334,4279.796896894081,0
F,64,3.0347600744441987,344.77080302111165,4848.916805859639,0
F,65,3.456342229351493,302.9450902084354,3906.6219325295383,0
F,66,2.9436390772259444,346.03505345302705,7303.510084728274,0
F,67,3.070521763098216,339.27443599506165,4686.309922797139,0
F,68,3.1499080491005516,337.0925114999508,3638.0539683280795,0
F,69,2.705929470313423,405.94673381444505,3103.1442201483414,0
F,70,3.0542081321856767,349.67695183480197,3758.194466148081,0
F,71,2.971058338255212,388.0418632631767,2195.1361151420147,0
F,72,2.3789950045469523,460.36229905859545,3606.0756257033327,0
F,73,2.986707907452987,359.57785088373396,3402.889204050655,0
F,74,2.783601292658776,396.96961384632266,2977.8847581828127,0
F,76,3.224943648233295,326.1026193133334,4189.54089042415,0
F,77,3.319727306404072,310.038518880147,5398.731333526063,0
F,78,3.183646873743004,335.1544122052081,3376.3772260142437,0
F,79,3.2274789969385065,323.0771188524368,4682.717701538472,0
F,80,2.741540285164076,394.2340186380688,3693.8407729441174,0
F,81,3.001146200000985,346.9667643700535,4832.545064197609,0
F,82,2.738258140879087,393.8635774472085,3551.012852319043,0
F,83,3.1458994855291627,331.031252958629,4258.874431503291,0
F,84,3.02309621486626,339.7827175727007,5840.4458041162,0
F,85,2.8463122542198365,368.5175052049864,4631.02007362712,0
